"Authors","Title","Year","Source title","DOI","Abstract","Author Keywords"
"Yilmaz M.","A Critical View on Bibliometrics","2019","TURKISH LIBRARIANSHIP","10.24146/tkd.2019.47","Bibliometrics is both a research area determining the distribution of the information produced quantitatively by various factors and a research method. The aim of this study is to examine bibliometrics as a scientific discipline with a critical approach. In this context, the hypothesis of our study is as follows; ""In assessing the productivity of research and researcher, bibliometric studies give more weight to quantitative aspects of the productivity. However, the productivity of research and researcher should not be determined only by quantitative aspects"". In this study, our criticisms about bibliometrics and bibliometric studies are listed as follows: Terminological problems about bibliometrics Problems related to the importance given to quantity Technical and interpretative problems arising from authors, and Technical problems related to databases involving the related literature. This study has demonstrated that the only quantitative aspects are not sufficient to assess the productivity of research and researcher.","Bibliometrics; informetrics; quantity; quality; research productivity; author productivity"
"Mathews K.; Hannaford-Turner K.","Bench to bedside: Using bibliometrics and compensation data to track the translation of immunotherapies for mesothelioma treatment","2023","RESPIROLOGY","N/A","N/A","Mesothelioma; immunotherapy; compensation; bibliometrics; translation."
"Arsenova I.","New application of bibliometrics","2013","PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON INTEGRATED INFORMATION (IC-ININFO 2012)","10.1016/j.sbspro.2013.02.105","This article presents the potential of bibliometrics as a more functional practice in public libraries. Bibliometrics laws and models are seen as a way of redefining and widening of the role of the library. The news applications of bibliometrics in library practice is motivated by ambitions to provide more complete services in public libraries, as well as to increase the visibility and status of libraries, not the least in relation to good management. The usage of Bibliometrics in public libraries is also seen as a way of widening of the professional profile of librarianship. The new applications should, however, also be considered from the viewpoint of potential changes in how libraries are perceived when using a monitoring function through bibliometric analyses of research performance in addition to traditional service oriented functions. (C) 2013 The Authors. Published by Elsevier Ltd. Selection peer-review under responsibility of The 2nd International Conference on Integrated Information","Bibliometrics; Public libraries; Bredford; Lotka; Zipf laws"
"Stisser A.; Jahn N.; Schmidt B.","On Status Quo and Perspectives of Bibliometrics-Driven Open Access Services at German Universities","2022","BIBLIOTHEK FORSCHUNG UND PRAXIS","10.1515/bfp-2021-0098","This article explores the extent to which institutional services for bibliometrics and open access at German universities relate to each other. Although recent science policies note an increasing role of data-driven decision making around open access, only a few universities make use of bibliometrics as part of their open access services. While bibliometrics services increasingly reflect ethical aspects in terms of responsible use, problematic examples can be found. Institutional activities to monitor open access benefit from standardized and networked research information as well as from collaboration within a university network.","Bibliometrics; open access; library services"
"Han G.Y.; Sun B.","Design and Implementation of Bibliometrics System Based on RIA","2014","PROCEEDINGS OF INTERNATIONAL CONFERENCE ON SOFT COMPUTING TECHNIQUES AND ENGINEERING APPLICATION, ICSCTEA 2013","10.1007/978-81-322-1695-7_30","With the growth of attention on e-Science and collaborative environment for scientific research, bibliometrics software needs to adopt a new form of architecture instead of traditional desktop software architecture. In this paper, the design of a bibliometrics system based on Rich Internet Application (RIA) and its core module's implementation are presented. The system's browser-side application is built upon Adobe Flex, and its server-side application is built upon J2EE. PureMVC framework is introduced to create the Flex application based on MVC concept. The system's main function is to analyze the literature information based on mathematical and statistical laws of bibliometrics, providing good visualization as well.","Bibliometrics system; RIA; Flex; PureMVC"
"Ye J.; Cao Z.J.","The Thought of the Art Bibliometrics on the Artistic Discipline","2012","PROCEEDING OF 2012 INTERNATIONAL SYMPOSIUM - EDUCATIONAL RESEARCH AND EDUCATIONAL TECHNOLOGY","N/A","Since the upgrade of art into an independent discipline in our country, it has been built up a higher platform of discipline for art subject construction and development. At the same time, it caused people's thinking from different aspects. In this paper, in order to meet the need of current art theory and its development, through the elaboration of art literature, meanwhile, with the overview of bibliometrics research methods and its value to art science, this paper proposed to use bibliometrics perspective to study the art discipline and related issues of art literature, and expressed its certain view on the future development of art bibliometrics.","Art categories; Art bibliometrics; Application value"
"Huang L.C.","Study on Prospect of Emerging Technology Commercialization Based on Bibliometrics Analysis","2008","2008 IEEE INTERNATIONAL CONFERENCE ON MANAGEMENT OF INNOVATION AND TECHNOLOGY, VOLS 1-3","10.1109/ICMIT.2008.4654332","Due to the uncertainty of emerging technologies development and their commercial prospect, it has important significant for technology investment decision-making on how to judge the prospect of emerging technology commercialization. Through the introduction on the relationship of bibliometrics and industry development, at first, this paper illuminates that it is a good method to research the emerging technology commercial prospect by using bibliometrics analysis methodology; then, the degree of emerging technology approaching to commercialization is illustrated by judging the technology maturity, at last, the degree of emerging technology approaching to commercialization success is analysis by judging whether the environment has being ready based on bibliometrics analysis approach.","Emerging technology; commercial prospect; bibliometrics analysis; technology maturity; commercial environment analysis"
"Torres-Salinas D.; Robinson-García N.; Jiménez-Contreras E.","The bibliometric journey towards technological and social change: A review of current challenges and issues","2023","PROFESIONAL DE LA INFORMACION","10.3145/epi.2023.mar.28","The current trends and challenges in the field of bibliometrics are reviewed. To do so, we take the reader along a bibliometric route with six stations: the explosion of databases, the inflation of metrics, its relationship to Data Science, searching for meaning, evaluative bibliometrics, and diversity and profession. This evaluation encompasses three dimensions of the bibliometrics field regarding research evaluation: the technological, the theoretical, and the social. Finally, we advocate for the principles of an evaluative bibliometrics, balancing the power of metrics with expert judgment and science policy.","Evaluative bibliometrics; Research evaluation; Peer review; Trends; Metrics; Scientific databases; Bibliometric indicators; Evolution"
"Garg K.C.; Kumar S.","Bibliometrics of global Ebola Virus Disease research as seen through Science Citation Index Expanded during 1987-2015","2017","TRAVEL MEDICINE AND INFECTIOUS DISEASE","10.1016/j.tmaid.2016.09.013","N/A","Bibliometrics; Scientometrics; Citation analysis; Ebola; EVD"
"Fassin Y.; Rousseau R.","Use of Bibliometrics-Related Terms, their Evolution, and the Growth of Metrics in Science","2023","JOURNAL OF SCIENTOMETRIC RESEARCH","10.5530/jscires.12.2.048","This article analyses the evolution of the most-used terms referring to the (broad) field of bibliometrics. It compares the number of publications on bibliometrics, scientometrics, informetrics, web(o)metrics, altmetrics, and the science of science, in three international databases, the Web of Science, Scopus, and Dimensions. We found that the relative number of documents using one of the metrics-related terms is showing a more than exponential increase. This illustrates the increasing importance of metrics in the world of science. While most terms separately show a clear increase in use, web(o)metrics and perhaps, informetrics, seem to have reached their top. Bibliometrics and scientometrics are the most-used terms, with, nowadays, the term bibliometrics being used about five times more than the term scientometrics. Any comprehensive bibliometric study should make use of a combination of related keywords to cover the whole field of study.","Bibliometrics; Scientometrics; Informetrics; Webmetrics; Altmetrics; Science of science; Quantitative science studies; Database queries"
"S.H.A.P.I.R.O.. F.R.","ORIGINS OF BIBLIOMETRICS, CITATION INDEXING, AND CITATION ANALYSIS - THE NEGLECTED LEGAL LITERATURE","1992","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE","10.1002/(SICI)1097-4571(199206)43:5<337::AID-ASI2>3.0.CO;2-T","Historians of bibliometrics have neglected legal bibliometrics almost completely. Yet bibliometrics, citation indexing, and citation analysis all appear to have been practiced in the legal field long before they were introduced into scientific literature. Publication counts are found in legal writings as early as 1817. Citation indexing originated with ""tables of cases cited,"" which date at least as far back as 1743. A full-fledged citation index book was published in 1860. Two ambitious citation analyses of court decisions appeared in 1894 and 1895.","N/A"
"Buchanan A.L.; Herubel J.P.V.M.","Disciplinary culture, bibliometrics, and historical studies: Preliminary observations","1997","BEHAVIORAL & SOCIAL SCIENCES LIBRARIAN","10.1300/J103v15n02_03","Observations are made concerning bibliometrics and its relationship to historical studies. The authors suggest historical and qualitative bibliometrics be explored to examine community formation of scientific and scholarly communication through institutional affiliation. The history journal Annales: economie, societe, civilisations (Annales: e.s.c.) is investigated for years 1979-1993. The study reveals an institutional and geographical mapping of this school's contributors. Although a recent sample, bibliometrics can be utilized to explore journals from the 18th, 19th, and 20th centuries for the history of disciplines, including library and information science.","N/A"
"Torres-Salinas D.; Orduña-Malea E.; Delgado-Vázquez A.; Gorraiz J.; Arroyo-Machado W.","Foundations of Narrative Bibliometrics","2024","JOURNAL OF INFORMETRICS","10.1016/j.joi.2024.101546","The document 'Foundations of Narrative Bibliometrics' provides an analysis of the evolution of scientific assessment, highlighting the influence of manifestos such as DORA and CoARA in shaping ethical and responsible practices in academia, as well as their assimilation by Spanish scientific policies. It connects this context with the contributions of evaluative bibliometrics, emphasising the transition towards a more integrative approach that advocates for a balance between quantitative and qualitative methods in research evaluation. Furthermore, it underscores how the Narrative Curriculum has emerged as one of the fundamental tools in new evaluation processes, as it allows for the description of the complexity and context of academic achievements. Narrative Bibliometrics is proposed, defined as the use of bibliometric indicators to generate stories that support the defence and exposition of a scientific curriculum and/or its individual contributions within the framework of a scientific evaluation process, which demands narratives. To introduce the reader, it presents, in a non-exhaustive manner, sources, indicators, and practical cases for effectively applying Narrative Bibliometrics in various scientific evaluation contexts. Hence, this document contributes to the responsible use of bibliometric indicators, serving as a tool for evaluators and researchers.","Responsible metrics; DORA; CoARA; Evaluative bibliometrics; Narrative curriculum; Narrative Bibliometrics; Databases; Bibliometric indicators; Narratives"
"Krüger A.K.; Petersohn S.","'I want to be able to do what I know the tools will allow us to do': Practicing evaluative bibliometrics through digital infrastructure","2023","RESEARCH EVALUATION","10.1093/reseval/rvac009","The proliferation of quantitative research assessment has been accompanied by an increasing growth and diversification of digital infrastructure for evaluative bibliometrics. Since the beginning of the 2000s, insights into academic performance provided by a variety of new databases and devices significantly exceed the capacities of the former Science Citation Index and embedded metrics. Going beyond the research on the construction, uses, and consequences of bibliometric indicators, we therefore posit that a perspective on bibliometric infrastructure is crucial for understanding how evaluative bibliometrics is put into practice. Drawing on interviews with academic librarians on the increasing provision and implementation of bibliometric infrastructure in the years 2013 and 2014, we analyse how the entanglement of technology and its users shapes how evaluative bibliometrics is understood and practiced.","evaluative bibliometrics; academic libraries; citation databases; analytic software tools; current research information systems; digital infrastructure"
"Oppenheim C.","Out with the old and in with the new: The RAE, bibliometrics and the new REF","2008","JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE","10.1177/0961000608092550","N/A","bibliometrics; citation analysis; Research Assessment Exercise; Research Excellence Framework"
"Gao H.L.; Wu J.; Sun Z.Y.; Zhang F.R.; Shi T.S.; Lu K.; Qian D.F.; Yin Z.C.; Zhao Y.J.; Qin J.; Xue B.","Influence of lecithin cholesterol acyltransferase alteration during different pathophysiologic conditions: A 45 years bibliometrics analysis(vol 13, 1062249, 2022)","2023","FRONTIERS IN PHARMACOLOGY","10.3389/fphar.2022.1133686","N/A","lecithin cholesterol acyltransferase; physiological; emerging trends; risk; bibliometrics"
"Zhang L.; Feng Y.K.","Bibliometrics and visualization analysis of artificial blood vessel research","2014","CURRENT SCIENCE","N/A","N/A","Artificial blood vessels; bibliometrics; research output; visualization analysis"
"Sangam S.L.","Bibliometrics to Knowledgometrics: Theory Method and Principle of Metrics Science","2017","16TH INTERNATIONAL CONFERENCE ON SCIENTOMETRICS & INFORMETRICS (ISSI 2017)","N/A","The terms librametry, bibliometrics, scientometrics, informetrics, webometrics and knowledgometrics refer to fields related to the study of the dynamics of disciplines as reflected in the production of their literature. These terms are used to describe similar and overlapping methodologies. The origins, historical survey, scope, application and development of each of these terms are presented in this paper.","Bibliometrics; Scientometrics; Knowledgometrics"
"Mokhnacheva Y.V.; Tsvetkova V.A.","Development of Bibliometrics as a Scientific Field","2020","SCIENTIFIC AND TECHNICAL INFORMATION PROCESSING","10.3103/S014768822003003X","This paper discusses the stages of development of bibliometrics based on data obtained from the Web of Science Core Collection database (WoS CC) for 1975-2019. It is shown that starting from the 2000s the number of publications on bibliometric topics has been growing exponentially and the Hirsch index has also increased significantly. It is found that the most cited publications of 1975-2000 had a general theoretical and methodological focus, while the publications of 2001-2019 were related to the intensive development of Internet technologies and databases that allow working with Big Data. Bibliometrics penetrated almost all scientific areas; it was found that while in 1975-2000 the WoS CC category Information Science & Library Science concentrated 60% of the documents on bibliometrics, while in 2001-2019 this category accounted for only 32% of all documents, and the rest of the publications were distributed over almost all subject categories of the WoS CC. In the last decade, the most popular publications have been those made at the intersection of different sciences with the simultaneous use of advanced computer technologies and bibliometric methods.","bibliometrics; historical aspect; application of bibliometrics; objective risks; subjective risks; publication activity on the topic &#8220; bibliometrics&#8221; dynamics of citations on the topic &#8220; bibliometrics&#8221; trends in use"
"Orduña-Malea E.; Martín-Martín A.; Delgado-López-Cózar E.","THE NEXT BIBLIOMETRICS: <i>ALMETRICS</i> (AUTHOR LEVEL METRICS) AND THE MULTIPLE FACES OF AUTHOR IMPACT","2016","PROFESIONAL DE LA INFORMACION","10.3145/epi.2016.may.18","The main goal of this article is to describe the purpose and content of a new branch of bibliometrics: ALMetrics (Author-Level Metrics). ALMetrics is focused on the quantitative analysis of an author's performance by measuring the dimensions of their intellectual activity as shown through varied metric indicators. This article will list, define, and classify the different metrics that are offered in newer information portals that showcase the scientific activity of authors. These metrics are grouped into five sets: bibliometrics (publication and citation), usage, participation, rating, social connectivity, and composite indicators. This new bibliometric specialty is necessary because of new trends in scientific assessment, which have moved analysis away from old bibliometrics (based on journal analysis and Impact Factor) towards new bibliometrics that analyze both documents and authors via a mix of indicators. Most importantly, ALMetrics responds to the researchers' desire for both knowledge and acknowledgement.","ALMetrics; Author-level metrics; Altmetrics; Scientific evaluation; Social academic networks; Bibliometrics"
"Castellani T.; Pontecorvo E.; Valente A.","Epistemic Consequences of Bibliometrics-based Evaluation: Insights from the Scientific Community","2016","SOCIAL EPISTEMOLOGY","10.1080/02691728.2015.1065929","The aim of this paper is to investigate the consequences of the bibliometrics-based evaluation system of scientific production on the contents and methods of sciences. The research has been conducted by means of in-depth interviews to a multi-disciplinary panel of Italian researchers. We discuss the implications of bibliometrics-based evaluation on the choice of the research topic, on the experimental practices, on the dissemination habits. We observe that the validation of the bibliometrics-based evaluation practices relies on the acceptance and diffusion within the scientific community, and that these practices are self-sustained through their wide application. We discuss possible evolving scenarios, also considering the recent development of digital archives.","Bibliometrics; Science and Technology Studies; Scientific Publishing"
"Lou Y.; Fu X.Y.; Huang L.C.","The Commercialization Prospect Analysis of Intelligent Control in Municipal Wastewater Treatment System Based on Bibliometrics","2009","EIGHTH WUHAN INTERNATIONAL CONFERENCE ON E-BUSINESS, VOLS I-III","N/A","Intelligent control technology in Municipal Wastewater treatment system has uncertain characteristics of technology development and commercial prospect, it is of great significance for technology investment decision-making that how to judge the commercial outlook of new technology. In this paper, we first introduced bibliometrics and its technical management functions. Then, we used bibliometrics to determine the maturity of the intelligent control technology in Municipal Wastewater treatment system. Finally, we analyzed the commercial environment and clarified the degree of commercialization.","Wastewater Treatment; Intelligent Control; Commercialization Prospects; Bibliometrics"
"Waks L.; Kramer E.O.","Bibliometrics and Qualitative Assessment: a Pragmatist Approach","2023","CONTEMPORARY PRAGMATISM","10.1163/18758185-BJA10060","In this essay we explore whether and how we should use bibliometrics in hiring, promoting, and granting in the academy. We suggest a Deweyan-Hickmanian pragmatist approach to reflecting on the technology of bibliometrics as a resource for inherently qualitative judgements in these deliberations. We begin with a literature review of current work evaluating the role and use of bibliometrics in the academy, from advocating for them to questioning their construct validity and assessing their limitations and/or dangerous consequences. In the next section, we take a step back and provide a Deweyan philosophical analysis of the validity and practical use of qualitative assessment. In our conclusion we reflect on what pragmatism can teach about recent algorithmic tools used for faculty evaluation.","bibliometrics; Dewey; pragmatism; theory of judgment; quantitative assessment; qualitative assessment"
"Arango C.R.; Alvarado R.U.","Co-words network in Mexican Bibliometrics","2017","INVESTIGACION BIBLIOTECOLOGICA","10.22201/iibi.24488321xe.2017.73.57845","This work performs a co-words analysis using the keywords in the documents published on Bibliometrics, Informetrics, Sciencometrics, patent metrics, etc. in Mexico from the early 1970s until December 2012. The approach involves analysis of co-occurrence words, hierarchical clustering and the social network mapping of 681 keywords (KW) that found 1,914 occurrences in 459 papers. Results show the keywords with the highest occurrence are ""Bibliometrics"" (10.6%), ""Mexico"" (6.3%), ""Scientific Production"" (3.0%), ""Latin America"" (3.0%), ""Impact Factor"" (1.8%), ""Bibliometric Indicators"" (1.8%) and ""Sciencometrics"" (1.7%). The KW with the highest degree of centrality and intermediation was ""Bibliometrics"". The KW with the highest degree of proximity was ""Research Evaluation"". Five groups of keywords behaving as cliques in the network were also found.","Bibliometrics; Informetrics; Scientometrics; Mexico"
"Kirk S.A.","Politics of personnel and landscapes of knowledge","2005","SOCIAL WORK IN HEALTH CARE","10.1300/J010v41n03_06","This is a commentary on three articles on bibliometrics in social work that appear in this volume. I argue that bibliometrics call make many contributions to the study of the structure and evolution of social work's knowledge base, but it cannot completely remove subjectivity in the evaluation of the scholarship of individual faculty, where legitimate differences of professional opinion will remain.","bibliometrics; citaton analysis; faculty evaluation"
"N.A.R.I.N.. F.","PATENT BIBLIOMETRICS","1994","SCIENTOMETRICS","10.1007/BF02017219","In our 1975 monograph ''Evaluative Bibliometrics'' we discussed the many uses of publication and citation analysis in the evaluation of scientific activities, and some of the basic statistical properties of the scientific literature, particularly the skewnness of the distributions of publications and citations, reference time distributions, and various anomalies in the citation patterns from one country to another. Over the last ten years we have devoted much of our energy to the development of an analogous research base and infrastructure for patent bibliometrics, that is for the use of patents, and patent citations in the evaluation of technological activities. There are remarkable similarities between literature bibliometrics and patent bibliometrics, and they are both applicable to the same wide ranges of problems. This paper will show that there are striking similarities between literature and patent distributions of national productivity, inventor productivity, referencing cycles, citation impact and within country citation preferences.","N/A"
"Guler A.T.; Waaijer C.J.F.; Palmblad M.","Scientific workflows for bibliometrics","2016","SCIENTOMETRICS","10.1007/s11192-016-1885-6","Scientific workflows organize the assembly of specialized software into an overall data flow and are particularly well suited for multi-step analyses using different types of software tools. They are also favorable in terms of reusability, as previously designed workflows could be made publicly available through the myExperiment community and then used in other workflows. We here illustrate how scientific workflows and the Taverna workbench in particular can be used in bibliometrics. We discuss the specific capabilities of Taverna that makes this software a powerful tool in this field, such as automated data import via Web services, data extraction from XML by XPaths, and statistical analysis and visualization with R. The support of the latter is particularly relevant, as it allows integration of a number of recently developed R packages specifically for bibliometrics. Examples are used to illustrate the possibilities of Taverna in the fields of bibliometrics and scientometrics.","Bibliometrics; Scientific workflows; Taverna; R; XML; Mass spectrometry; Medicinal chemistry"
"Osareh F.","Bibliometrics, citation analysis and co-citation analysis: A review of literature .1.","1996","LIBRI","10.1515/libr.1996.46.3.149","Although the coinage of the term Bibliometrics is fairly recent, its usage and practice can be traced back to the 1890's. Bibliometrics has been used vastly as a quantitative method for evaluating the literature in different disciplines, particularly in the last two decades. This article is intended to review bibliometrics and one of its major methods citation analysis in two different parts: the first part of this article aims to present a background of the bibliometrics and citation analysis. The applications of citation analysis are also studied in this part In the second part of this article: document and author co-citation analysis as well as journal-by-journal and country-by-country citation analysis are studied. Mapping science as an application of co-citation analysis is also studied. finally the Limitations, problems and reliability and validity of citation analysis as a research method will be considered.","N/A"
