AU	TI	PY	SO	DI	AB	DE
Laino E.; Paranunzio R.; Iglesias G.	Scientometric review on multiple climate-related hazards indices	2024	Science of the Total Environment	10.1016/j.scitotenv.2024.174004	As the spectre of climate change looms large, there is an increasing imperative to develop comprehensive risk assessment tools. The purpose of this work is to evaluate the evolution and current state of research on multi-hazard indices associated with climate-related hazards, highlighting their crucial role in effective risk assessment amidst the growing challenges of climate change. A notable gap in cross-regional comparative studies persists, presenting an opportunity for future research to enhance global understanding and foster universal resilience strategies. However, a significant surge in research output is apparent, following key global milestones related to climate change action. The research landscape is shown to be highly responsive to international policy developments, increasingly adopting interdisciplinary approaches that integrate physical, social, and technological dimensions. Findings reveal a robust emphasis on geospatial analysis and the development of various indices that transform abstract climate risks into actionable data, underscoring a trend towards localized, context-specific vulnerability assessments. Based on dataset systematically curated under the PRISMA guidelines, the review explores how prevailing research themes are reflected in influential journals and author networks, mapping out a dynamic and expanding academic community. Moreover, this work provides critical insights into the underlying literature by conducting a thematic analysis on the typology of studies, the focus on coastal areas, the inclusion of climate change scenarios, the geographical coverage, and the types of climate-related hazards. The practical implications of this review are profound, providing policymakers and practitioners with meaningful insights to enhance climate change mitigation and adaptation efforts through the application of index-based methodologies. By charting a course for future scholarly endeavours, this article aims to strengthen the scientific foundations supporting resilient and adaptive strategies for regions worldwide facing the multifaceted impacts of climate change. © 2024 The Authors	Bibliometric analysis; Climate change impacts; Climate hazards; Multi-hazard assessment; Risk index; Scientometric analysis
Guan L.S.; Henderson M.N.; Singh H.; Guyer O.; Massaro-Giordano M.	Evaluation of Research Productivity Among Academic Cornea, External Diseases, and Refractive Surgery Ophthalmologists Using the Relative Citation Ratio	2024	Cornea	10.1097/ICO.0000000000003512	Purpose: The purpose of this study was to provide relative citation ratio (RCR) benchmark data for cornea and external diseases specialists. Design: This is a cross-sectional bibliometric analysis. Subjects: Subjects included were fellowship-trained cornea and external diseases faculty at Accreditation Council for Graduate Medical Education-accredited institutions in the United States. Methods: Academic specialists were indexed using the National Institutes of Health iCite Web site. Publication count, mean RCR score, and weighted RCR score were obtained between October 2022 and January 2023 by examining PubMed-listed publications from 1980 to 2022. Data were compared by sex, career duration, academic rank, and acquisition of a Doctor of Philosophy. Main outcome measures: The main outcome measures were publication count, mean RCR value, and weighted RCR value. Results: The cohort included 602 specialists from 112 Accreditation Council for Graduate Medical Education-accredited institutions. These clinician-scientists produced highly impactful research with a median publication count of 15 (interquartile ranges 4-41), median RCR of 1.4 (interquartile ranges 0.91-1.88), and median-weighted RCR of 20.28 (5.3-66.69). Both academic rank and career length were associated with greater publication count and RCR values. Male sex was also associated with greater publications counts and RCR scores compared with female faculty. Acquisition of a Doctor of Philosophy was associated with greater publication counts and weighted RCR scores but no difference in mean RCR scores. Conclusions: Academic cornea and external diseases specialists conduct high-impact research, with a median RCR of 1.4, exceeding the NIH standard value of 1. These data provide RCR benchmark data for the field to inform self, institutional, and departmental evaluations. These results also highlight a significant gender disparity in the field necessitating efforts to increase female representation and ensure equal opportunities.  Copyright © 2024 Wolters Kluwer Health, Inc. All rights reserved.	academic medicine; bibliometrics; relative citation ratio; research productivity
Feng Z.; Hao Z.; Zhao B.; Feng Z.; Huang D.; Huo J.	Fluorescent probe applications and prospects in gastrointestinal cancer: A bibliometric analysis	2024	European Journal of Surgical Oncology	10.1016/j.ejso.2024.108565	Background: Gastrointestinal tumors, as one of the most common cancers worldwide, pose a significant threat to human health. In this context, the advent of fluorescence probe technology has offered new perspectives and methods for the diagnosis and surgical treatment of gastrointestinal tumors. However, there is currently a lack of systematic bibliometric analysis on the research concerning gastrointestinal cancer and fluorescence probes. Method: This study retrieved and comprehensively analyzed 1816 documents from the Web of Science database using the Cite Space tool, exploring the spatiotemporal distribution, author and subject category distribution, research themes, and keywords in this field. Results: As of February 3, 2024, a total of 1816 records were retrieved, encompassing nine document types. Original research papers dominated the dataset, accounting for 89.922 %, followed by review articles at 6.773 %. We conducted a comprehensive analysis from various perspectives including countries, authors, institutions, keywords, journals, and references. Our findings reveal a strengthening trend in research on gastrointestinal cancer and fluorescent probes since 2010, with primary focus on drug delivery, endoscopy techniques, and genomic hybridization. Conclusion: In recent years, there has been a growing interest in the design, application, and quantitative analysis techniques of fluorescent probes, marking a notable frontier in this field. Our research findings offer fundamental insights and aid in identifying potential collaborators for future endeavors in this area. © 2024	Fluorescence probe; Gastric cancer; Gastrointestinal cancer; Liver cancer; Noninvasive diagnosis; Optical diagnosis
Bachhati L.; Mujahid Irfan M.; Koti Reddy B.	Mapping collaborative dynamics and evolutionary trends in wireless power transfer for electric vehicles: A scientometric analysis	2024	Results in Engineering	10.1016/j.rineng.2024.102463	Wireless charging modules for electric vehicles play an important role in advancing sustainable urban transportation. This study investigated the social dynamics of research in this domain. We achieve this by analyzing the collaborative networks of authors and countries, evaluating the influence of prominent researchers and seminal works, and exploring the interactions between researchers. The main objective of this analysis is to project insights into the prevailing trends and advancements in this domain and to track research trends in Wireless Power Transfer (WPT) for Electric Vehicles (EV), identify key researchers and institutions, and measure the impact of publications through citation analysis. The findings of this study will help researchers and industries obtain a realistic picture of WPT technology. Analyzing all articles related to wireless power charging in electrical vehicles from Scopus publications spanning 2003 to 2024 resulted in the collection of 450 publications. After applying the defined selection criteria, such as relevance to the latest trends in WPT for electric vehicles, publication type, and quality of research, 327 articles were obtained. Furthermore, 327 articles were filtered to 127 from 2017 to 2024 for in-depth investigation. Collaboration patterns and research trends were analyzed using bibliometric methods and statistical tools such as co-authorship analysis, co-citation analysis, and citation network analysis. This analysis reveals a consistent increase in publications, indicating growing academic and industrial interest, and found significant regional variations in research focus, with unique scientific writing styles emerging in different countries. This research underscores the significance of international cooperation in accelerating advancements in WPT for electric vehicles and intends to promote innovation and collaboration in this important subject by providing useful knowledge for researchers, policymakers, and industry. © 2024 The Authors	Bibliometric analysis; Charging batteries; DC-DC converters; Electric vehicles; Inductive power transfer; Wireless power transfer
Zubair H.; Susilawati S.; Talei A.	Scientometric literature review: Effects of Work from Home (WFH) on transportation system	2024	Multimodal Transportation	10.1016/j.multra.2024.100152	This literature survey aims to provide a broad view of studies on work from home (WFH) and its effect on travel behaviour published from 1975 to 5 February 2024 by employing bibliometric mapping in VOSviewer. The cluster analysis was deployed to identify collaboration among authors, institutions, and journals, the most co-cited articles and journals, and study terms co-occurrence. The detailed movement of information in each study was visualised using Sankey diagrams. This literature survey was conducted to develop the relationship between WFH and transport-related parameters, including travel behaviour, trip distance, housing location and land use management and to assess WFH's direct and indirect effects on household trips. The results revealed that most studies used questionnaire surveys for data collection and regression models for analysis. The least targeted parameters were home relocation, free choice of WFH, ICT, the effect of WFH on other household member trips per day, cross-country research, trip chaining, employers' perspectives on WFH, exact working location instead of home, and preferences of essential workers. The findings can assist researchers in identifying influential authors or institutions for future collaborations and the combination of parameters and future research directions that can be explored. © 2024 The Author(s)	Bibliometrics; Cluster analysis; Sankey diagram; Scientometric; VOSviewer; WFH; WFH and transport
Olisah C.; Malloum A.; Adegoke K.A.; Ighalo J.O.; Conradie J.; Ohoro C.R.; Amaku J.F.; Oyedotun K.O.; Maxakato N.W.; Akpomie K.G.; Sunday Okeke E.	Scientometric trends and knowledge maps of global polychlorinated naphthalenes research over the past four decades	2024	Environmental Pollution	10.1016/j.envpol.2024.124407	Polychlorinated naphthalenes (PCNs) were included in the banned list of the Stockholm Convention due to their potential to provoke a wide range of adverse effects on living organisms and the environment. Many reviews have been written to clarify the state of knowledge and identify the research needs of this pollutant class. However, studies have yet to analyse the scientometric complexities of PCN literature. In this study, we used bibliometric R and vosviewer programs as a scientometric tool to fill this gap by focusing on articles indexed on Web of Science and Scopus databases and those published between 1973 and 2022. A total of 707 articles were published within this period with a publication/author, author/publication, and co-authors/publication ratios of 0.45, 2.19, and 4.86, respectively. Developed countries dominated most scientometric indices (number of publications, citations, and collaboration networks) in the survey period. Lotka's inverse square rule of author productivity showed that Lotka's laws do not fit PCN literature. An annual percentage growth rate of 7.46% and a Kolmogorov-Smirnoff goodness-of-fit of 0.88 suggests that more output on PCNs is likely in years to come. More research is needed from scholars from developing countries to measure the supremacy of the developed nations and to effectively comply with the Stockholm Convention agreement. © 2024 The Authors	Bibliometric; Chlorinated compounds; Human health; Persistent organic pollutants; Toxicity
Kumar R.; Althaqafi E.; Patro S.G.K.; Simic V.; Babbar A.; Pamucar D.; Singh S.K.; Verma A.	Machine and deep learning methods for concrete strength Prediction: A bibliometric and content analysis review of research trends and future directions	2024	Applied Soft Computing	10.1016/j.asoc.2024.111956	This review paper provides a detailed evaluation of the existing landscape and future trends in applying machine learning and deep learning approaches for predicting concrete strength in construction engineering. The study contextualizes the investigation of machine learning and deep learning in concrete strength prediction, emphasizing the need for precise strength forecasting in construction. This hybrid review uses quantitative analysis of an extensive collection of 1005 research publications from the Scopus database (2010−2023) to identify clusters, hotspots, and gaps in this area, giving a systematic way to analyze the field's dynamics. This review reveals major research clusters such as concrete characteristics, sustainability, error analysis, and optimization. It identifies research hotspots like compressive strength prediction, reinforced concrete, and neural networks. The review illuminates future research paths, ethical concerns, and environmental implications. It emphasizes the relevance of fairness, bias reduction, and sustainability in developing and deploying machine and deep learning models in the construction sector and the necessity for specialized models in forecasting concrete durability, sustainable concrete strength, and shear strength. © 2024 Elsevier B.V.	Concrete Strength Prediction; Construction Engineering; Deep Learning; Machine Learning; Review
Dayana Anandhi E.; Velmurugan G.	Understanding individual financial stability: A systematic review and bibliometric analysis (1994 – 2023)	2024	Multidisciplinary Reviews	10.31893/multirev.2024208	Research on financial well-being has recently captured the attention of academics, financial analysts, and practitioners. It is indicated by research that individuals with elevated levels of financial well-being demonstrate greater resilience in facing financial shocks, pursue opportunities for economic progress, and report higher overall satisfaction. However, despite the growing number of publications and research efforts on financial well-being, examination of literature regarding individual financial well-being remains underdeveloped and fragmented. Moreover, there are few studies that examine the influence of key factors on individuals' well-being and acknowledge the significance of financial well-being's objective and subjective components. To address this gap, our study focuses on individual financial well-being by employing a systematic literature review and bibliometric analysis. Data obtained from the Scopus database were examined using R-Packages and VOSviewer. Our goal is to systematically review the key factors determining a person's financial well-being and discuss how these factors enhance individual well-being. The significance of both subjective perceptions and objective financial metrics for overall well-being is also highlighted. The paper presents a comprehensive analysis of various theories used in understanding financial well-being, thereby expanding the scope of research in this field. Our contribution includes proposing a novel definition based on literature evaluation of one's financial well-being, which considers an individual's present and future desired living standard, as well as their aspirations for financial freedom. The work aims to encourage further research on financial well-being, informing potential interventions by governments and financial institutions. © 2024, Malque Publishing. All rights reserved.	bibliometrics; financial well-being; objective financial well-being; subjective financial well-being; systematic review
Li M.; Yuan Y.; Hou Z.; Hao S.; Jin L.; Wang B.	Human brain organoid: trends, evolution, and remaining challenges	2024	Neural Regeneration Research	10.4103/1673-5374.390972	Advanced brain organoids provide promising platforms for deciphering the cellular and molecular processes of human neural development and diseases. Although various studies and reviews have described developments and advancements in brain organoids, few studies have comprehensively summarized and analyzed the global trends in this area of neuroscience. To identify and further facilitate the development of cerebral organoids, we utilized bibliometrics and visualization methods to analyze the global trends and evolution of brain organoids in the last 10 years. First, annual publications, countries/ regions, organizations, journals, authors, co-citations, and keywords relating to brain organoids were identified. The hotspots in this field were also systematically identified. Subsequently, current applications for brain organoids in neuroscience, including human neural development, neural disorders, infectious diseases, regenerative medicine, drug discovery, and toxicity assessment studies, are comprehensively discussed. Towards that end, several considerations regarding the current challenges in brain organoid research and future strategies to advance neuroscience will be presented to further promote their application in neurological research. © 2024 Wolters Kluwer Medknow Publications. All rights reserved.	bibliometric analysis; brain organoids; cerebral organoids; global trends; neuroscience
Wang Y.; Li X.; Yang H.; Wu Y.; Pu Q.; He W.; Li X.	A review of tire wear particles: Occurrence, adverse effects, and control strategies	2024	Ecotoxicology and Environmental Safety	10.1016/j.ecoenv.2024.116782	Tire wear particles (TWPs), common mixed particulate emerging contaminants in the environment, have global per capita emissions accounting for 0.23–1.9 kg/year, attracting global attention recently due to their wide detection, small size, mobility, and high toxicity. This review focuses on the occurrence characteristics of TWPs in multiple environmental media, adverse effects on organisms, potential toxicity mechanisms, and environmental risk prevention and control strategies of TWPs. The environmental fate of TWPs throughout the entire process is systematically investigated by the bibliometric analysis function of CiteSpace. This review supplements the gap in the joint toxicity and related toxicity mechanisms of TWPs with other environmental pollutants. Based on the risks review of TWPs and their additives, adverse impacts have been found in organisms from aquatic environments, soil, and humans, such as the growth inhibition effect on Chironomus dilutes. A multi-faceted and rationalized prevention and control treatment of “source-process-end” for the whole process can be achieved by regulating the use of studded tires, improving the tire additive formula, growing plants roadside, encouraging micro-degradation, and other methods, which are first reviewed. By addressing the current knowledge gaps and exploring prospects, this study contributes to developing strategies for reducing risks and assessing the fate of TWPs in multiple environmental media. © 2024 The Authors	Emerging contaminants; Environmental distribution characteristics; Environmental ecological risks; Joint toxicity; Pollution control measures; Potential toxicity mechanisms
Yanzhe D.; Jianlin H.; Zhibin D.; Nan J.; Lijuan S.; Yuqing Y.; Cungen M.	Visual analysis of the effect of apoptosis on ischemic stroke	2024	Chinese Journal of Tissue Engineering Research	10.12307/2024.430	BACKGROUND: Ischemic stroke is a highly prevalent disease associated with apoptosis. Neuronal death occurs after cerebral ischemia, including necrosis and apoptosis. The ischemic core region is dominated by necrosis, while delayed neuronal death in the penumbra is dominated by apoptosis. The penumbra has become a target for the treatment of ischemic stroke. This bibliometric analysis was used to identify the characteristics, hotspots, and frontiers of global scientific output related to apoptosis in ischemic stroke over the past 5 years. OBJECTIVE: To analyze the role of apoptosis and its mechanisms in the pathological process of ischemic stroke through a bibliometric approach. METHODS: A total of 927 relevant literature records from 2018 to 2022 were retrieved from Science Citation Index Expanded (SCI-Expanded) and Social Science Citation Index Expanded (SSCI-Expanded) of the Web of Science Core Collection. Research trends and hotspots of apoptosis in ischemic stroke were visualized using Citespace, VOSviewer and Bibliometrix. RESULTS AND CONCLUSION: From 2018 to 2020, the number of papers on the role of apoptosis in ischemic stroke showed an upward trend, but in 2020, the number of papers began to reduce. China had the largest number of publications, and the United States ranked the second. Capital Medical University and BRAIN RESEARCH BULLETIN were the institutions and journals with the most articles, respectively. In recent years, the two keywords “expression” and “oxidative stress” have appeared more frequently. The bibliometric study showed that in the past 5 years, most of the studies focused on basic research, in which research on the role of apoptosis in ischemic stroke has gradually decreased in the last 3 years, showing a downward trend. On the contrary, nerve regeneration has gradually become a research hotspot, especially the regulation of neurotrophic factors under the influence of different mechanisms, and the research on angiogenesis and glial cell repair is on the rise. At the same time, apoptosis in nerve regeneration is a potential point of discovery. © 2024, Publishing House of Chinese Journal of Tissue Engineering Research. All rights reserved.	bibliometrics; cell apoptosis; Citespace; ischemic stroke; VOSviewer
Zhu J.; Liu H.; Kong J.; Wang J.; Ji W.; Wei Z.; Yao X.; Wang X.	Exploring hydrogen storage safety research by bibliometric analysis	2024	International Journal of Hydrogen Energy	10.1016/j.ijhydene.2024.07.285	The application of hydrogen energy is affected by the safety of hydrogen storage system. To grasp the current status of research and application in the research field of hydrogen storage safety and explore its research development trend, data analysis techniques, such as co-occurrence, co-citation, and burst detection, were adopted to conduct bibliometric analysis of the relevant literature. The study results show that the research hotspots of hydrogen storage safety mainly concentrate on six aspects: the stability of metal hydride hydrogen storage materials, the study of thermal management and stress relief in metal hydride reactors, the safety analysis of hydrogen fuel cells and hydrogen leakage monitoring, the analysis of leakage and explosion risks in hydrogen refueling stations, the study of filling pressure and temperature distribution in hydrogen storage tanks, and the study of safety issues in underground hydrogen storage. Mg-based hydride stability and underground hydrogen storage risk analyses are current research frontiers in hydrogen storage safety. © 2024	Bibliometrics; Hydrogen storage systems; Research frontiers; Safety
Xu W.; Xu Z.; Guo Y.; Wu J.	Two decades of research on the role of diet in Alzheimer’s disease (2003–2023): a bibliometric and visual analysis based on CiteSpace	2024	Journal of Health, Population and Nutrition	10.1186/s41043-024-00503-9	Background: In recent years, the impact of diet on Alzheimer's disease (AD) as a modifiable lifestyle has attracted widespread attention. We aimed to elucidate the current research status, frontiers, and research trends regarding the role of diet in AD over the past two decades through CiteSpace. Methods: Studies related to AD and diet that were published from January 1, 2003, to June 30, 2023, were retrieved via the Web of Science Core Collection. We imported the study data into CiteSpace for visual analysis of countries, institutions, co-authors, and co-occurring keywords. Results: A total of 922 relevant studies were included in our analysis, which found Nikolaos Scarmeas was the most prolific author (13 studies, 1.41%). The results also indicated that USA and Columbia University were the country and institution with the highest number of publications, with 209 (22.67%) and 23 (2.49%), respectively. The keywords that had a burst in the past four years were neuroinflammation, AD, tau, association, and beta. Conclusion: Talent exchange and regional cooperation are recommended in this study field. The results indicate that the effectiveness of various dietary patterns and mechanisms of dietary interventions using biomarkers and supplementation with refined nutrients will be the main research trends in the future. © 2024, The Author(s).	Alzheimer’s disease; Bibliometric; CiteSpace; Diet; Nutrient; Visual analysis
Razi U.; Karim S.; Cheong C.W.H.	From turbulence to resilience: A bibliometric insight into the complex interactions between energy price volatility and green finance	2024	Energy	10.1016/j.energy.2024.131992	Given the growing concerns over climate change and energy price dynamics, this study provides a comprehensive bibliometric analysis of energy price volatility (turbulence) and the resilience of green financial markets. Using data from Scopus from 1994 to October 2023, we employ performance analysis, science mapping, and thematic analysis through bibliometric study. Efficient Market Hypothesis (EMH), Game Theory, Dynamic Capabilities, and Resource-based view provide solid theoretical foundations for understanding these dynamics. Our findings reveal four critical themes: sustainable development in the green energy sector, technological innovations and renewable energy integration, economic foundations and investment dynamics in green financial markets, and environmental impact and policy influence. The analysis highlights the pivotal role of green finance in mitigating energy market fluctuations and promoting sustainable development. Policymakers and practitioners should leverage innovative green financing strategies to enhance economic resilience and drive long-term sustainable development. We propose thought-provoking questions to guide future research on these themes. © 2024 Elsevier Ltd	Bibliometric analysis; Energy price volatility; Green finance; Green resilience; Renewable energy investments
Chi J.; Kamarudin S.; Rahman S.N.A.	Connecting Pixels to Trust: A Systematic Review of the Relationship Between Government Social Media Usage and Citizens' Trust in Government	2024	Studies in Media and Communication	10.11114/smc.v12i3.6797	Government social media has garnered significant attention due to its impact on citizens' attitudes, prompting extensive academic research. This review aims to delineate a decade-spanning corpus of literature, discern prevalent research trends, and propose a prospective research agenda in this domain. Employing systematic literature review and PRISMA methodologies, our investigation identified 22 published articles through comprehensive keyword searches across Scopus, Google Scholar, CNKI, and ProQuest databases, ensuring a diverse representation of geographic areas to capture the global perspective on this issue. This study mainly utilize a mixed research methodology encompassing bibliometrics and content analysis to analyze data results. This paper conducted a bibliometric analysis revealing that the relationship between government social media usage and citizens' trust in the government remains a contentious topic. To delve deeper into this relationship, the selected literature were categorized into three distinct research themes through content analysis, forming a comprehensive conceptual framework. Upon meticulous analysis, the findings suggest that future research should explore the communication field more extensively, encompass a broader range of research topics, employ refined concepts, and examine the mediating role of audience behavior, particularly focusing on the behavior of young people. Furthermore, researchers are encouraged to adopt a more thorough and detailed systematic approach when reviewing relevant literature on government social media. © 2024 Redfame Publishing Inc.. All rights reserved.	bibliometric analysis; citizens’ trust; content analysis; government social media; systematic literature review
Qiu Y.; Tong J.; Fu H.; Lyu S.; Rizky M.Y.R.; Wu J.; Wei G.; Xue M.	Refining ecoacoustic indices in aquatic and terrestrial ecosystems: A comprehensive review and bibliometric analysis	2024	Ecological Indicators	10.1016/j.ecolind.2024.112363	In recent years, ecological acoustic assessment based on Passive Acoustic Monitoring technology has gained widespread attention as a non-invasive method, providing scientific evidence for biodiversity monitoring and wildlife conservation. Although this approach, as a newly established ecological research method, faces numerous challenges to prove its effectiveness, it has gradually established a comprehensive analytical process supported by numerous studies. This study analyzes the application of ecoacoustic indices in assessing terrestrial and underwater environments and biodiversity detection, identifying commonly used indices. After summarizing the principles of these ecoacoustic indices, the study highlights the suitable indices for different application environments and the influencing factors to consider. Additionally, a bibliometric analysis was conducted on related articles and their keywords retrieved from the Web of Science database, visualizing the relationships. Based on this, the study predicts the development trends of ecoacoustic indices and envisions their broader application in other fields. This research provides a clear overview of the use of ecoacoustic indices and offers theoretical references for the development of the field. © 2024	Bibliometric analysis; Ecoacoustic assessment; Ecoacoustic indices; Passive acoustic monitoring
Bochi F.; Grácio M.C.C.	Characterization of the technological domain of relational citation analyses: A study of stem cell patents	2024	World Patent Information	10.1016/j.wpi.2024.102302	This research aims to analyze the contribution of univariate and relational citation analysis methods, applied to patents, for the identification and characterization of scientific-technological domains, in documents indexed in the Derwent Innovation Index database. The adopted method was patentometrics associated with bibliometrics, using joint analysis of the relational bibliometric citation methods: co-citation and bibliographic coupling. The corpus of the study is composed of 144 patent families. Through the bibliographic coupling, 5 theme clusters and researchers with well-defined thematic domains were observed. Employing co-citation, 23 clusters were identified, characterizing the epistemic domains related to technological currents in which stem cell inventors operate. Such results allowed us to prospect the scientific-technological scenario in this theme, which can illustrate some institutions’ innovation potentials and explain who the actors at the forefront of such research are. It is proposed that applying this methodology allies to topic modeling techniques. © 2024 Elsevier Ltd	Co-citation analysis; Coupling analysis; Domain analysis; Patentometrics; Patents; Relational citation analysis
Jiang H.; Zhou J.; Ding Y.; Zeng A.	Overcoming recognition delays in disruptive research: The impact of team size, familiarity, and reputation	2024	Journal of Informetrics	10.1016/j.joi.2024.101549	The relationship between disruption and delayed recognition is a critical research topic, yet the connection between the degree of disruption and delayed acknowledgment remains unclear. This study investigates the extent of recognition delay for disruptive papers using the SciSciNet dataset. We conducted a quantitative analysis based on this extensive dataset to examine the relationship between the Disruption Index and the Sleeping Beauty Index, revealing that highly disruptive papers often face a latency period before gaining acknowledgment, with significant variations across disciplines and over time. Our analysis of team dynamics indicates that larger teams, the presence of high-impact authors, fixed teams, and hierarchically structured teams can significantly reduce this delay. These findings provide insights into optimizing team strategies and understanding the complexities of academic recognition. They offer valuable implications for researchers and policymakers aiming to foster and accelerate the acknowledgment of groundbreaking scientific contributions. © 2024 Elsevier Ltd	Bibliometrics; Delayed recognition; Disruption index; Disruptive; Sleeping beauty index
Sarvari H.; Edwards D.J.; Rillie I.; Posillico J.J.	Building a safer future: Analysis of studies on safety I and safety II in the construction industry	2024	Safety Science	10.1016/j.ssci.2024.106621	Purpose: The construction industry is one of the most dangerous, with daily dangers and hazards. The industry commonly employs Safety I, a reactive approach to reduce accidents and incidents by identifying and controlling hazards. Safety II focuses on using worker strengths and promoting ongoing improvement. Nevertheless, both Safety I and II have faced criticism for their excessive emphasis on regulatory compliance (Safety I) and executive constraints (Safety II), respectively. Hence, this paper presents a rich synthesis of Safety I and II literature in the construction industry between January 2000 and December 2023 prior to proposing strategies for integrating them to build a safer future by focusing on the strengths of implementing each technique. Methodology: In this scientometric research study, 35 related research papers were sought and selected after checking and validating the Web of Science journal database. Bibliometric analysis, through HistCite and VOSviewer software programmes, was then used to create maps from network data and illustrate an exploration of the prevailing literature discourse. Interpretivism was then used to develop application and combination strategies for the new theory of integrating Safety I and II in the construction industry. Findings: Results reveal that the historical progression of research undertaken has developed from first introducing and identifying the field of research (2011 to 2015) to then providing solutions (2015 to 2019) and finally to making constructive suggestions (post 2019) for a safer future. Notably, prominent topics in recent years have examined resilience and progress toward safety improvements by the combination of Safety I and II concepts. Originality: This research highlights the positive outcomes that can be achieved via Safety I and II integration in the construction industry. Furthermore, this paper offers efficient and pragmatic techniques for incorporating Safety I and II approaches in the construction industry, which are crucial for promoting a comprehensive integrated approach to safety administration. By combining existing safety practices with a focus on learning from successes, organisations can create a safer work environment, improve productivity and foster continuous improvement. © 2024 The Author(s)	Construction safety; HistCite; Literature review; Safety I; Safety II; VOSviewer
Chen D.; Yan F.; Fang X.; Zhou J.; Hu X.; Ma X.; Zheng X.; Yin R.; Sun F.; Bai Y.; Ma Z.; Kuzyakov Y.; Liu L.	Global research trends in Rhizodeposition-mediated soil carbon cycle: A bibliometric analysis	2024	Applied Soil Ecology	10.1016/j.apsoil.2024.105531	Rhizodeposition plays a crucial role in the soil carbon (C) cycle, yet a comprehensive understanding of global research trends and directions related to rhizodeposition remains elusive. To provide a global perspective, this study employs bibliometric analysis to systematically review research on the Soil C cycle-rhizodeposition (SCC-Rhizo) publication characteristics, topic trends, and knowledge domains over the past decades. The SCC-Rhizo documents (2598) from 1966 to 2023 in the Web of Science Core Collection and Scopus were analyzed using VOSviewer, CiteSpace software and ‘bibliometrix’ package of R. A significant rise in annual publications and international scientific collaboration has been observed over the past years, indicating substantial growth potential and a dynamic research landscape. The study topics varied and flourished over time. The research scope expands from small-scale lab simulations to encompass large-scale ecosystem studies in diverse environments (i.e. grasslands, forests and paddy fields). The composition of rhizodeposition has been scrutinized from general compounds to specific materials (such as organic acids), while interactions between rhizodeposition and soil are currently being explored at the molecular level, which is expected to be a focal point of future research. Beyond bacteria, investigations now encompass fungi, microbial activity, and microbial communities. Isotope labeling and metagenomics sequencing are increasingly prevalent technology in SCC-Rhizo research. The results provide a global, objective perspective for understanding SCC-Rhizo research over the past decades. This research underscores the necessity for future studies to accurately quantify the rates and composition of rhizodeposition at the ecosystem level, explore the interactions with soil components, and develop predictive models. © 2024 Elsevier B.V.	Bibliometrics; Plant-soil-microbial interactions; Rhizodeposition; Soil carbon cycle
Ferreira M.M.; Marins-Gonçalves L.; De Souza D.	An integrative review of analytical techniques used in food authentication: A detailed description for milk and dairy products	2024	Food Chemistry	10.1016/j.foodchem.2024.140206	The use of suitable analytical techniques for the detection of adulteration, falsification, deliberate substitution, and mislabeling of foods has great importance in the industrial, scientific, legislative, and public health contexts. This way, this work reports an integrative review with a current analytical approach for food authentication, indicating the main analytical techniques to identify adulteration and perform the traceability of chemical components in processed and non-processed foods, evaluating the authenticity and geographic origin. This work presents results from a systematic search in Science Direct® and Scopus® databases using the keywords “authentication” AND “food”, “authentication,” AND “beverage”, from published papers from 2013 to, 2024. All research and reviews published were employed in the bibliometric analysis, evaluating the advantages and disadvantages of analytical techniques, indicating the perspectives for direct, quick, and simple analysis, guaranteeing the application of quality standards, and ensuring food safety for consumers. Furthermore, this work reports the analysis of natural foods to evaluate the origin (traceability), and industrialized foods to detect adulterations and fraud. A focus on research to detect adulteration in milk and dairy products is presented due to the importance of these products in the nutrition of the world population. All analytical tools discussed have advantages and drawbacks, including sample preparation steps, the need for reference materials, and mathematical treatments. So, the main advances in modern analytical techniques for the identification and quantification of food adulterations, mainly milk and dairy products, were discussed, indicating trends and perspectives on food authentication. © 2024	Analytical detection; Authentication analysis; Food adulteration, Food traceability, Food geographic origin; Traceability of milk and dairy products
Fu M.; Fraser B.; Arcodia C.	Digital natives on the rise: A systematic literature review on generation Z's engagement with RAISA technologies in hospitality services	2024	International Journal of Hospitality Management	10.1016/j.ijhm.2024.103885	Technological disruptions, health crises, persistent labour issues, and demographic shifts have elevated the importance of RAISA (robots, artificial intelligence, and service automation), and Generation Z for hospitality organisations. This study reviews 81 peer-reviewed articles using bibliometrics, quantitative frequency, and qualitative thematic analysis to examine Generation Z's engagement with RAISA in hospitality services. The findings highlight the increasing prevalence of service robots in hospitality sectors, with other AI and smart technologies remaining underexplored. While prior studies focused on Generation Z consumers' RAISA usage intentions, they overlooked the perspectives of Generation Z employees and hospitality operators. Furthermore, prior studies were mostly quantitative and geographically constrained, and focused on examining existing technology acceptance models, thereby lacking cross-cultural, in-depth, and mixed-methods exploration. Accordingly, this review paper proposes future research directions, and a novel service encounter paradigm. The paper also suggests hospitality operators proactively adopt RAISA technologies and prioritise Generation Z to aid sustainable operations. © 2024 The Authors	Generation Z; Hospitality services; Human-computer interaction model; RAISA; Service Encounter Triad
