AU	TI	PY	SO	DI	AB	DE
bornmann l.; daniel h.d.	what do citation counts measure? a review of studies on citing behavior	2008	journal of documentation	10.1108/00220410810844150	purpose - the purpose of this paper is to present a narrative review of studies on the citing behavior of scientists, covering mainly research published in the last 15 years. based oil the results of these studies, the paper seeks to answer the question of the extent to which scientists are motivated to cite a publication not only to acknowledge intellectual mid cognitive influences of scientific peers, but also for other, possibly non-scientific, reasons. design/methodology/approach - the review covers research published from the early 1960; up to mid-2005 (approximately 30 studies on citing behavior-reporting results in about 40 publications). findings - the general tendency of the results of the empirical studies makes it clear that citing behavior is not motivated solely by the wish to acknowledge intellectual and cognitive influences of colleague scientists, since the individual studies reveal also other, in part non-scientific, factors that play a part in the decision to cite. however, the results of the studies must also be deemed scarcely reliable: the studies vary widely in design, and their results can hardly be replicated. many of the studies have methodological weaknesses. furthermore, there is evidence that file different motivations of citers are not so different or 'randomly given' to such an extent that the phenomenon of citation would lose its role as a reliable measure of impact. originality/value - given the increasing importance of evaluative bibliometrics ill the world of scholarship, the question what do citation counts measure? is a particularly relevant and topical issue.	reference services; bibliographic systems
eysenbach g.	can tweets predict citations? metrics of social impact based on twitter and correlation with traditional metrics of scientific impact	2011	journal of medical internet research	10.2196/jmir.2012	background: citations in peer-reviewed articles and the impact factor are generally accepted measures of scientific impact. web 2.0 tools such as twitter, blogs or social bookmarking tools provide the possibility to construct innovative article-level or journal-level metrics to gauge impact and influence. however, the relationship of the these new metrics to traditional metrics such as citations is not known. objective: (1) to explore the feasibility of measuring social impact of and public attention to scholarly articles by analyzing buzz in social media, (2) to explore the dynamics, content, and timing of tweets relative to the publication of a scholarly article, and (3) to explore whether these metrics are sensitive and specific enough to predict highly cited articles. methods: between july 2008 and november 2011, all tweets containing links to articles in the journal of medical internet research (jmir) were mined. for a subset of 1573 tweets about 55 articles published between issues 3/2009 and 2/2010, different metrics of social media impact were calculated and compared against subsequent citation data from scopus and google scholar 17 to 29 months later. a heuristic to predict the top-cited articles in each issue through tweet metrics was validated. results: a total of 4208 tweets cited 286 distinct jmir articles. the distribution of tweets over the first 30 days after article publication followed a power law (zipf, bradford, or pareto distribution), with most tweets sent on the day when an article was published (1458/3318, 43.94% of all tweets in a 60-day period) or on the following day (528/3318, 15.9%), followed by a rapid decay. the pearson correlations between tweetations and citations were moderate and statistically significant, with correlation coefficients ranging from .42 to .72 for the log-transformed google scholar citations, but were less clear for scopus citations and rank correlations. a linear multivariate model with time and tweets as significant predictors (p < .001) could explain 27% of the variation of citations. highly tweeted articles were 11 times more likely to be highly cited than less-tweeted articles (9/12 or 75% of highly tweeted article were highly cited, while only 3/43 or 7% of less-tweeted articles were highly cited; rate ratio 0.75/0.07 = 10.75, 95% confidence interval, 3.4-33.6). top-cited articles can be predicted from top-tweeted articles with 93% specificity and 75% sensitivity. conclusions: tweets can predict highly cited articles within the first 3 days of article publication. social media activity either increases citations or reflects the underlying qualities of the article that also predict citations, but the true use of these metrics is to measure the distinct concept of social impact. social impact measures based on tweets are proposed to complement traditional citation metrics. the proposed twimpact factor may be a useful and timely metric to measure uptake of research findings and to filter research findings resonating with the public in real time.	bibliometrics; blogging; periodicals as topic; peer-review; publishing; social media analytics; scientometrics; infodemiology; infometrics; reproducibility of results; medicine 2.0; power law; twitter
b.r.o.a.d.u.s.. r.n.	toward a definition of bibliometrics	1987	scientometrics	10.1007/bf02016680		
bornmann l.; mutz r.	growth rates of modern science: a bibliometric analysis based on the number of publications and cited references	2015	journal of the association for information science and technology	10.1002/asi.23329	many studies (in information science) have looked at the growth of science. in this study, we reexamine the question of the growth of science. to do this we (a) use current data up to publication year 2012 and (b) analyze the data across all disciplines and also separately for the natural sciences and for the medical and health sciences. furthermore, the data were analyzed with an advanced statistical techniquesegmented regression analysiswhich can identify specific segments with similar growth rates in the history of science. the study is based on two different sets of bibliometric data: (a) the number of publications held as source items in the web of science (wos, thomson reuters) per publication year and (b) the number of cited references in the publications of the source items per cited reference year. we looked at the rate at which science has grown since the mid-1600s. in our analysis of cited references we identified three essential growth phases in the development of science, which each led to growth rates tripling in comparison with the previous phase: from less than 1% up to the middle of the 18th century, to 2 to 3% up to the period between the two world wars, and 8 to 9% to 2010.	bibliometrics
daim t.u.; rueda g.; martin h.; gerdsri p.	forecasting emerging technologies: use of bibliometrics and patent analysis	2006	technological forecasting and social change	10.1016/j.techfore.2006.04.004	it is rather difficult to forecast emerging technologies as there is no historical data available. in such cases, the use of bibliometrics and patent analysis have provided useful data. this paper presents the forecasts for three emerging technology areas by integrating the use of bibliometrics and patent analysis into well-known technology forecasting tools such as scenario planning, growth curves and analogies. system dynamics is also used to be able to model the dynamic ecosystem of the technologies and their diffusion. technologies being forecasted are fuel cell, food safety and optical storage technologies. results from these three applications help us to validate the proposed methods as appropriate tools to forecast emerging technologies. (c) 2006 elsevier inc. all rights reserved.	
cobo m.j.; lopez-herrera a.g.; herrera-viedma e.; herrera f.	scimat: a new science mapping analysis software tool	2012	journal of the american society for information science and technology	10.1002/asi.22688	this article presents a new open-source software tool, scimat, which performs science mapping analysis within a longitudinal framework. it provides different modules that help the analyst to carry out all the steps of the science mapping workflow. in addition, scimat presents three key features that are remarkable in respect to other science mapping software tools: (a) a powerful preprocessing module to clean the raw bibliographical data, (b) the use of bibliometric measures to study the impact of each studied element, and (c) a wizard to configure the analysis.	computer software applications; bibliographic software; bibliometrics
moral-munoz j.a.; herrera-viedma e.; santisteban-espejo a.; cobo m.j.	software tools for conducting bibliometric analysis in science: an up-to-date review	2020	profesional de la informacion	10.3145/epi.2020.ene.03	bibliometrics has become an essential tool for assessing and analyzing the output of scientists, cooperation between universities, the effect of state-owned science funding on national research and development performance and educational efficiency, among other applications. therefore, professionals and scientists need a range of theoretical and practical tools to measure experimental data. this review aims to provide an up-to-date review of the various tools available for conducting bibliometric and scientometric analyses, including the sources of data acquisition, performance analysis and visualization tools. the included tools were divided into three categories: general bibliometric and performance analysis, science mapping analysis, and libraries; a description of all of them is provided. a comparative analysis of the database sources support, pre-processing capabilities, analysis and visualization options were also provided in order to facilitate its understanding. although there are numerous bibliometric databases to obtain data for bibliometric and scientometric analysis, they have been developed for a different purpose. the number of exportable records is between 500 and 50,000 and the coverage of the different science fields is unequal in each database. concerning the analyzed tools, bibliometrix contains the more extensive set of techniques and suitable for practitioners through biblioshiny. vosviewer has a fantastic visualization and is capable of loading and exporting information from many sources. scimat is the tool with a powerful pre-processing and export capability. in views of the variability of features, the users need to decide the desired analysis output and chose the option that better fits into their aims.	bibliometrics; scientometrics; science mapping analysis; tools; bibliographic databases; performance analysis; software; libraries; r-package; python-package; software review
radicchi f.; fortunato s.; castellano c.	universality of citation distributions: toward an objective measure of scientific impact	2008	proceedings of the national academy of sciences of the united states of america	10.1073/pnas.0806977105	we study the distributions of citations received by a single publication within several disciplines, spanning broad areas of science. we show that the probability that an article is cited c times has large variations between different disciplines, but all distributions are rescaled on a universal curve when the relative indicator c(f) = c/c(0) is considered, where c(0) is the average number of citations per article for the discipline. in addition we show that the same universal behavior occurs when citation distributions of articles published in the same field, but in different years, are compared. these findings provide a strong validation of cf as an unbiased indicator for citation performance across disciplines and years. based on this indicator, we introduce a generalization of the h index suitable for comparing scientists working in different fields.	bibliometrics; analysis; h index
hood w.w.; wilson c.s.	the literature of bibliometrics, scientometrics, and informetrics	2001	scientometrics	10.1023/a:1017919924342	since vassily v. nalimov coined the term 'scientometrics' in the 1960s, this term has grown in popularity and is used to describe the study of science: growth, structure, interrelationships and productivity. scientometrics is related to and has overlapping interests with bibliometrics and informetrics. the terms bibliometrics, scientometrics, and informetrics refer to component fields related to the study of the dynamics of disciplines as reflected in the production of their literature, areas of study range from charting changes in the output of a scholarly field through time and across countries, to the library collection problem of maintaining control of the output, and to the low publication productivity of most researchers. these terms are used to describe similar and overlapping methodologies. the origins and historical survey of the development of each of these terms are presented. profiles of the usage of each of these terms over time are presented, using an appropriate subject category of databases on the dialog information service. various definitions of each of the terms are provided from an examination of the literature. the size of the overall literature of these fields is determined and the growth and stabilisation of both the dissertation and non-dissertation literature are shown. a listing of the top journals in the three fields are given, as well as a list of the major reviews and bibliographies that have been published over the years.	
aksnes d.w.; langfeldt l.; wouters p.	citations, citation indicators, and research quality: an overview of basic concepts and theories	2019	sage open	10.1177/2158244019829575	citations are increasingly used as performance indicators in research policy and within the research system. usually, citations are assumed to reflect the impact of the research or its quality. what is the justification for these assumptions and how do citations relate to research quality? these and similar issues have been addressed through several decades of scientometric research. this article provides an overview of some of the main issues at stake, including theories of citation and the interpretation and validity of citations as performance measures. research quality is a multidimensional concept, where plausibility/soundness, originality, scientific value, and societal value commonly are perceived as key characteristics. the article investigates how citations may relate to these various research quality dimensions. it is argued that citations reflect aspects related to scientific impact and relevance, although with important limitations. on the contrary, there is no evidence that citations reflect other key dimensions of research quality. hence, an increased use of citation indicators in research evaluation and funding may imply less attention to these other research quality dimensions, such as solidity/plausibility, originality, and societal value.	citations; indicators; metrics; bibliometrics; evaluation; research quality
wagner c.s.; roessner j.d.; bobb k.; klein j.t.; boyack k.w.; keyton j.; rafols i.; borner k.	approaches to understanding and measuring interdisciplinary scientific research (idr): a review of the literature	2011	journal of informetrics	10.1016/j.joi.2010.06.004	interdisciplinary scientific research (idr) extends and challenges the study of science on a number of fronts, including creating output science and engineering (s&e) indicators. this literature review began with a narrow search for quantitative measures of the output of idr that could contribute to indicators, but the authors expanded the scope of the review as it became clear that differing definitions, assessment tools, evaluation processes, and measures all shed light on different aspects of idr. key among these broader aspects is (a) the importance of incorporating the concept of knowledge integration, and (b) recognizing that integration can occur within a single mind as well as among a team. existing output measures alone cannot adequately capture this process. among the quantitative measures considered, bibliometrics (co-authorships, co-inventors, collaborations, references, citations and co-citations) are the most developed, but leave considerable gaps in understanding of the social dynamics that lead to knowledge integration. emerging measures in network dynamics (particularly betweenness centrality and diversity), and entropy are promising as indicators, but their use requires sophisticated interpretations. combinations of quantitative measures and qualitative assessments being applied within evaluation studies appear to reveal idr processes but carry burdens of expense, intrusion, and lack of reproducibility year-upon-year. this review is a first step toward providing a more holistic view of measuring idr, although research and development is needed before metrics can adequately reflect the actual phenomenon of idr. (c) 2010 published by elsevier ltd.	interdisciplinary; science; research; indicators; bibliometrics; evaluation
baas j.; schotten m.; plume a.; cote g.; karimi r.	scopus as a curated, high-quality bibliometric data source for academic research in quantitative science studies	2020	quantitative science studies	10.1162/qss_a_00019	scopus is among the largest curated abstract and citation databases, with a wide global and regional coverage of scientific journals, conference proceedings, and books, while ensuring only the highest quality data are indexed through rigorous content selection and re-evaluation by an independent content selection and advisory board. additionally, extensive quality assurance processes continuously monitor and improve all data elements in scopus. besides enriched metadata records of scientific articles, scopus offers comprehensive author and institution profiles, obtained from advanced profiling algorithms and manual curation, ensuring high precision and recall. the trustworthiness of scopus has led to its use as bibliometric data source for large-scale analyses in research assessments, research landscape studies, science policy evaluations, and university rankings. scopus data have been offered for free for selected studies by the academic research community, such as through application programming interfaces, which have led to many publications employing scopus data to investigate topics such as researcher mobility, network visualizations, and spatial bibliometrics. in june 2019, the international center for the study of research was launched, with an advisory board consisting of bibliometricians, aiming to work with the scientometric research community and offering a virtual laboratory where researchers will be able to utilize scopus data.	abstract and citation database; author profile; bibliographic database; bibliometrics; citation linking; content selection and advisory board; csab; data cleaning; data clustering; data curation; data linking; icsr; institution profile; international center for the study of research; network visualization; orcid; quality assurance; research assessment; researcher mobility; science policy evaluation; scientometrics; university ranking
costas r.; zahedi z.; wouters p.	do altmetrics correlate with citations? extensive comparison of altmetric indicators with citations from a multidisciplinary perspective	2015	journal of the association for information science and technology	10.1002/asi.23309	an extensive analysis of the presence of different altmetric indicators provided by altmetric.com across scientific fields is presented, particularly focusing on their relationship with citations. our results confirm that the presence and density of social media altmetric counts are still very low and not very frequent among scientific publications, with 15%-24% of the publications presenting some altmetric activity and concentrated on the most recent publications, although their presence is increasing over time. publications from the social sciences, humanities, and the medical and life sciences show the highest presence of altmetrics, indicating their potential value and interest for these fields. the analysis of the relationships between altmetrics and citations confirms previous claims of positive correlations but is relatively weak, thus supporting the idea that altmetrics do not reflect the same kind of impact as citations. also, altmetric counts do not always present a better filtering of highly-cited publications than journal citation scores. altmetric scores (particularly mentions in blogs) are able to identify highly-cited publications with higher levels of precision than journal citation scores (jcs), but they have a lower level of recall. the value of altmetrics as a complementary tool of citation analysis is highlighted, although more research is suggested to disentangle the potential meaning and value of altmetric indicators for research evaluation.	bibliometrics; databases
durieux v.; gevenois p.a.	bibliometric indicators: quality measurements of scientific publication	2010	radiology	10.1148/radiol.09090626	bibliometrics is a set of mathematical and statistical methods used to analyze and measure the quantity and quality of books, articles, and other forms of publications. there are three types of bibliometric indicators: quantity indicators, which measure the productivity of a particular researcher; quality indicators, which measure the quality (or performance) of a researcher's output; and structural indicators, which measure connections between publications, authors, and areas of research. bibliometric indicators are especially important for researchers and organizations, as these measurements are often used in funding decisions, appointments, and promotions of researchers. as more and more scientific discoveries occur and published research results are read and then quoted by other researchers, bibliometric indicators are becoming increasingly important. this article provides an overview of the currently used bibliometric indicators and summarizes the critical elements and characteristics one should be aware of when evaluating the quantity and quality of scientific output. (c) rsna, 2010	
nerur s.p.; rasheed a.a.; natarajan v.	the intellectual structure of the strategic management field: an author co-citation analysis	2008	strategic management journal	10.1002/smj.659	this paper complements a recent study by ramos-rodriguez and ruiz-navarro (2004) that investigated the intellectual structure of the strategic management field through co-citation analysis. by using authors as the units of analysis and incorporating all the citations that are included in the science citation index and the social science citation index, we trace the evolution of the intellectual structure of the strategic management field during the period 1980-2000. using a variety of data analytic techniques such as multidimensional scaling, factor analysis, and pathfinder analysis, we (1) delineate the subfields that constitute the intellectual structure of strategic management; (2) determine the relationships between the subfields; (3) identify authors who play a pivotal role in bridging two or more conceptual domains of research; and (4) graphically map the intellectual structure in two-dimensional space in order to visualize spatial distances between intellectual themes. the analysis provides insights about the influence of individual authors as well as changes in their influence over time. copyright (c) 2007 john wiley & sons, ltd.	author co-citation analysis; pathfinder analysis; information theory; strategic management research; bibliometrics
kostoff r.n.; scaller r.r.	science and technology roadmaps	2001	ieee transactions on engineering management	10.1109/17.922473	science and technology (s&t) roadmaps are used in industry, government, and academia to portray the structural relationships among science, technology and applications. roadmaps are employed as decision aids to improve coordination of activities and resources in increasingly complex and uncertain environments. specific uses of roadmaps include: s&t management including strategy, planning, executing, reviewing, and transitioning; s&t marketing; enhancing communications among researchers, technologists, product managers, suppliers, users, and other stakeholders; identifying gaps and opportunities in s&t programs; and identifying obstacles to rapid and low-cost product development. s&t managers also use roadmaps to help identify those s&t areas that have high potential promise, and to accelerate the transfer of the s&t to eventual products, however, there has been little attention paid to the practice of roadmapping in the published literature. this paper is a first attempt to bring some common definition to roadmapping practices and display the underlying unity of seemingly fragmented roadmap approaches. the paper begins with generic roadmap definitions, including a taxonomy of roadmaps that attempts to better classify and unify the broad spectrum of roadmap objectives and uses. characteristics of retrospective and prospective roadmaps are then identified and analyzed, as well as summary characteristics of bibliometric-based s&t mapping techniques. the roadmap construction process, including fundamental principles for constructing high-quality roadmaps, is presented in detail.	bibliometrics; citation; co-citation; co-occurrence; co-word; decision aids; patent citation; retrospective analyses; roadmapping; roadmaps; science and technology; technology insertion; technology strategy; technology transfer
borgman c.l.; furner j.	scholarly communication and bibliometrics	2002	annual review of information science and technology			
piwowar h.; priem j.; lariviere v.; alperin j.p.; matthias l.; norlander b.; farley a.; west j.; haustein s.	the state of oa: a large-scale analysis of the prevalence and impact of open access articles	2018	peerj	10.7717/peerj.4375	despite growing interest in open access (oa) to scholarly literature, there is an unmet need for large-scale, up-to-date, and reproducible studies assessing the prevalence and characteristics of oa. we address this need using oadoi, an open online service that determines oa status for 67 million articles. we use three samples, each of 100,000 articles, to investigate oa in three populations: (1) all journal articles assigned a crossref doi, (2) recent journal articles indexed in web of science, and (3) articles viewed by users of unpaywall, an open-source browser extension that lets users find oa articles using oadoi. we estimate that at least 28% of the scholarly literature is oa (19m in total) and that this proportion is growing, driven particularly by growth in gold and hybrid. the most recent year analyzed (2015) also has the highest percentage of oa (45%). because of this growth, and the fact that readers disproportionately access newer articles, we find that unpaywall users encounter oa quite frequently: 47% of articles they view are oa. notably, the most common mechanism for oa is not gold, green, or hybrid oa, but rather an under-discussed category we dub bronze: articles made free-to-read on the publisher website, without an explicit open license. we also examine the citation impact of oa articles, corroborating the so-called open-access citation advantage: accounting for age and discipline, oa articles receive 18% more citations than average, an effect driven primarily by green and hybrid oa. we encourage further research using the free oadoi service, as a way to inform oa policy and practice.	open access; open science; scientometrics; publishing; libraries; scholarly communication; bibliometrics; science policy
van der have r.p.; rubalcaba l.	social innovation research: an emerging area of innovation studies?	2016	research policy	10.1016/j.respol.2016.06.010	while the adoption of social innovation (si) in the governance and policy domain has fueled a rapidly expanding scholarly literature, this field has become characterized by conceptual ambiguity and a diversity of definitions and research settings. this present situation inhibits the integration of findings. this paper traces the content, scope and relatively short history of modern social innovation research across disciplines by applying network and bibliometric analyses, and explores their relevance to innovation studies. based on data from 172 publications, we analyze scholarly works that directly address the social innovation topic, allowing us to identify the precedence, dynamics and the current map of social innovation research as an emerging field of study. our analysis suggests that the si field is grounded in four distinct intellectual communities arising through a somewhat organized diffusion process: 1) community psychology; 2) creativity research; 3) social and societal challenges; 4) local development. the interest of si in the areas of management and entrepreneurship is only very recent and is currently reflected within existing communities. we forge conceptual bridges between the two (currently very separate) domains of social innovation and innovation studies, and the implications of our finding for further research and policy are also discussed. (c) 2016 elsevier b.v. all rights reserved.	social innovation; social entrepreneurship; social value; social technology; bibliometrics; integrative literature review
waltman l.; van eck n.j.	a new methodology for constructing a publication-level classification system of science	2012	journal of the american society for information science and technology	10.1002/asi.22748	classifying journals or publications into research areas is an essential element of many bibliometric analyses. classification usually takes place at the level of journals, where the web of science subject categories are the most popular classification system. however, journal-level classification systems have two important limitations: they offer only a limited amount of detail, and they have difficulties with multidisciplinary journals. to avoid these limitations, we introduce a new methodology for constructing classification systems at the level of individual publications. in the proposed methodology, publications are clustered into research areas based on citation relations. the methodology is able to deal with very large numbers of publications. we present an application in which a classification system is produced that includes almost 10 million publications. based on an extensive analysis of this classification system, we discuss the strengths and the limitations of the proposed methodology. important strengths are the transparency and relative simplicity of the methodology and its fairly modest computing and memory requirements. the main limitation of the methodology is its exclusive reliance on direct citation relations between publications. the accuracy of the methodology can probably be increased by also taking into account other types of relationsfor instance, based on bibliographic coupling.	citation analysis; bibliometrics
acar e.; dunlavy d.m.; kolda t.g.; morup m.	scalable tensor factorizations for incomplete data	2011	chemometrics and intelligent laboratory systems	10.1016/j.chemolab.2010.08.004	the problem of incomplete data - i.e., data with missing or unknown values - in multi-way arrays is ubiquitous in biomedical signal processing, network traffic analysis, bibliometrics, social network analysis, chemometrics, computer vision, communication networks, etc. we consider the problem of how to factorize data sets with missing values with the goal of capturing the underlying latent structure of the data and possibly reconstructing missing values (i.e., tensor completion). we focus on one of the most well-known tensor factorizations that captures multi-linear structure, candecomp/parafac (cp). in the presence of missing data, cp can be formulated as a weighted least squares problem that models only the known entries. we develop an algorithm called cp-wopt (cp weighted optimization) that uses a first-order optimization approach to solve the weighted least squares problem. based on extensive numerical experiments, our algorithm is shown to successfully factorize tensors with noise and up to 99% missing data. a unique aspect of our approach is that it scales to sparse large-scale data, e.g., 1000 x 1000 x 1000 with five million known entries (0.5% dense). we further demonstrate the usefulness of cp-wopt on two real-world applications: a novel eeg (electroencephalogram) application where missing data is frequently encountered due to disconnections of electrodes and the problem of modeling computer network traffic where data may be absent due to the expense of the data collection process. (c) 2010 elsevier b.v. all rights reserved.	missing data; incomplete data; tensor factorization; candecomp; parafac; optimization
